Date,Price,Open,High,Low,Vol.,Change %
2021-02-01,53.55,51.99,53.74,51.64,416.07K,2.59%
2021-02-02,54.76,53.48,55.26,53.45,463.72K,2.26%
2021-02-03,55.69,55.05,56.33,54.81,448.69K,1.70%
2021-02-04,56.23,55.96,56.58,55.3,381.40K,0.97%
2021-02-05,56.85,56.46,57.29,56.43,400.83K,1.10%
2021-02-08,57.97,57.06,58.14,57,399.72K,1.97%
2021-02-09,58.36,58.11,58.62,57.27,514.70K,0.67%
2021-02-10,58.68,58.45,58.91,58.08,457.54K,0.55%
2021-02-11,58.24,58.4,58.71,57.84,380.45K,-0.75%
2021-02-12,59.47,57.94,59.82,57.41,480.82K,2.11%
2021-02-14,60.37,60.01,60.75,60.01,,1.51%
2021-02-15,60.09,60.36,60.95,59.96,,-0.46%
2021-02-16,60.05,59.98,60.95,59.33,602.33K,-0.07%
2021-02-17,61.14,60.24,61.73,59.43,335.42K,1.82%
2021-02-18,60.52,61.68,62.26,59.79,132.04K,-1.01%
2021-02-19,59.24,60.2,60.29,58.59,102.43K,-2.12%
2021-02-22,61.49,58.88,61.84,58.82,37.04K,3.80%
2021-02-23,61.67,62.16,63,60.67,570.68K,0.29%
2021-02-24,63.22,61.29,63.51,60.97,489.93K,2.51%
2021-02-25,63.53,63.39,63.81,62.65,510.36K,0.49%
2021-02-26,61.5,63.46,63.57,61.34,472.72K,-3.20%
2021-03-01,60.64,61.95,62.92,59.96,456.68K,-1.40%
2021-03-02,59.75,60.23,61.21,59.38,464.13K,-1.47%
2021-03-03,61.28,59.55,61.99,59.24,465.31K,2.56%
2021-03-04,63.83,61.08,64.86,60.52,694.63K,4.16%
2021-03-05,66.09,64.16,66.42,63.82,573.17K,3.54%
2021-03-08,65.05,66.68,67.98,64.57,533.38K,-1.57%
